operator,model,feature,importance
cbbim,GCN,m_bbyy,0.007366482504604033
cbbim,GCN,pT_jj,0.02992633517495391
cbbim,GCN,Eta_jj,0.001688152240638341
cbbim,GCN,DPhi_bb,0.0010742786985880048
cbbim,GCN,signed_DeltaPhi_jj,0.003990178023327129
cbbim,GCN,cosThetaStar,0.0004604051565376688
cbbim,GCN,costheta1,0.0
cbbim,GCN,costheta2,0.0030693677102516803
cbbim,GCN,DPhi_yybb,0.002302025782688677
cbbim,GCN,Eta_yybb,-0.0006138735420503361
cbbim,GAT,m_bbyy,0.010742786985880937
cbbim,GAT,pT_jj,0.017495395948434633
cbbim,GAT,Eta_jj,0.0018416206261510082
cbbim,GAT,DPhi_bb,0.0004604051565377798
cbbim,GAT,signed_DeltaPhi_jj,-0.0010742786985881159
cbbim,GAT,cosThetaStar,0.0003069367710251125
cbbim,GAT,costheta1,0.0010742786985881159
cbbim,GAT,costheta2,-0.0004604051565377798
cbbim,GAT,DPhi_yybb,0.0
cbbim,GAT,Eta_yybb,0.0012277470841006721
cbgim,GCN,m_bbyy,-0.002521334367726946
cbgim,GCN,pT_jj,-0.004654771140419012
cbgim,GCN,Eta_jj,0.00038789759503488064
cbgim,GCN,DPhi_bb,-0.00038789759503499166
cbgim,GCN,signed_DeltaPhi_jj,-0.0013576415826221933
cbgim,GCN,cosThetaStar,-0.00038789759503499166
cbgim,GCN,costheta1,-0.00038789759503499166
cbgim,GCN,costheta2,-0.00038789759503499166
cbgim,GCN,DPhi_yybb,0.00019394879751744032
cbgim,GCN,Eta_yybb,-0.0007757951900698723
cbgim,GAT,m_bbyy,0.000581846392552321
cbgim,GAT,pT_jj,0.014158262218774254
cbgim,GAT,Eta_jj,-0.000581846392552432
cbgim,GAT,DPhi_bb,0.0007757951900697613
cbgim,GAT,signed_DeltaPhi_jj,-0.001745539177657185
cbgim,GAT,cosThetaStar,-0.00019394879751744032
cbgim,GAT,costheta1,0.0
cbgim,GAT,costheta2,0.0007757951900697613
cbgim,GAT,DPhi_yybb,0.0
cbgim,GAT,Eta_yybb,-0.00019394879751744032
cbhim,GCN,m_bbyy,0.0020572875454977213
cbhim,GCN,pT_jj,0.006013609748377946
cbhim,GCN,Eta_jj,-0.001107770216806414
cbhim,GCN,DPhi_bb,-0.00015825288811521787
cbhim,GCN,signed_DeltaPhi_jj,0.001266023104921743
cbhim,GCN,cosThetaStar,-0.00015825288811521787
cbhim,GCN,costheta1,-0.0017407817692672856
cbhim,GCN,costheta2,0.00015825288811521787
cbhim,GCN,DPhi_yybb,0.00015825288811521787
cbhim,GCN,Eta_yybb,0.0006330115524608715
cbhim,GAT,m_bbyy,0.0
cbhim,GAT,pT_jj,0.0
cbhim,GAT,Eta_jj,0.0
cbhim,GAT,DPhi_bb,0.0
cbhim,GAT,signed_DeltaPhi_jj,0.0
cbhim,GAT,cosThetaStar,0.0
cbhim,GAT,costheta1,0.0
cbhim,GAT,costheta2,0.0
cbhim,GAT,DPhi_yybb,0.0
cbhim,GAT,Eta_yybb,0.0
chbtil,GCN,m_bbyy,0.0021645021645021467
chbtil,GCN,pT_jj,0.023088023088023046
chbtil,GCN,Eta_jj,-0.00793650793650802
chbtil,GCN,DPhi_bb,-0.0028860028860029363
chbtil,GCN,signed_DeltaPhi_jj,-0.0014430014430014682
chbtil,GCN,cosThetaStar,-0.0021645021645022577
chbtil,GCN,costheta1,-0.0007215007215007896
chbtil,GCN,costheta2,-0.0028860028860029363
chbtil,GCN,DPhi_yybb,-0.003607503607503615
chbtil,GCN,Eta_yybb,-0.0043290043290044045
chbtil,GAT,m_bbyy,0.0028860028860028253
chbtil,GAT,pT_jj,0.025974025974025983
chbtil,GAT,Eta_jj,-0.0007215007215007896
chbtil,GAT,DPhi_bb,-0.0014430014430014682
chbtil,GAT,signed_DeltaPhi_jj,0.0021645021645021467
chbtil,GAT,cosThetaStar,0.0007215007215006786
chbtil,GAT,costheta1,-0.0007215007215007896
chbtil,GAT,costheta2,0.0007215007215006786
chbtil,GAT,DPhi_yybb,-0.003607503607503615
chbtil,GAT,Eta_yybb,0.0021645021645021467
chgtil,GCN,m_bbyy,-0.004217356042173548
chgtil,GCN,pT_jj,-0.00291970802919711
chgtil,GCN,Eta_jj,0.0
chgtil,GCN,DPhi_bb,0.0
chgtil,GCN,signed_DeltaPhi_jj,0.0
chgtil,GCN,cosThetaStar,0.0
chgtil,GCN,costheta1,0.0
chgtil,GCN,costheta2,0.0
chgtil,GCN,DPhi_yybb,0.0
chgtil,GCN,Eta_yybb,0.0
chgtil,GAT,m_bbyy,0.00032441200324412334
chgtil,GAT,pT_jj,-0.0001622060016220339
chgtil,GAT,Eta_jj,0.0
chgtil,GAT,DPhi_bb,0.0
chgtil,GAT,signed_DeltaPhi_jj,0.0
chgtil,GAT,cosThetaStar,0.0
chgtil,GAT,costheta1,0.0
chgtil,GAT,costheta2,0.0
chgtil,GAT,DPhi_yybb,0.0
chgtil,GAT,Eta_yybb,0.0
ctbim,GCN,m_bbyy,0.0
ctbim,GCN,pT_jj,0.0
ctbim,GCN,Eta_jj,0.0
ctbim,GCN,DPhi_bb,0.0
ctbim,GCN,signed_DeltaPhi_jj,0.0
ctbim,GCN,cosThetaStar,0.0
ctbim,GCN,costheta1,0.0
ctbim,GCN,costheta2,0.0
ctbim,GCN,DPhi_yybb,0.0
ctbim,GCN,Eta_yybb,0.0
ctbim,GAT,m_bbyy,0.0
ctbim,GAT,pT_jj,0.0
ctbim,GAT,Eta_jj,0.0
ctbim,GAT,DPhi_bb,0.0
ctbim,GAT,signed_DeltaPhi_jj,0.0
ctbim,GAT,cosThetaStar,0.0
ctbim,GAT,costheta1,0.0
ctbim,GAT,costheta2,0.0
ctbim,GAT,DPhi_yybb,0.0
ctbim,GAT,Eta_yybb,0.0
